"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H4k20me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2CebpzIggrabPk.narrowPeak.csv"
"jaccard_index","0.000705396564501267"
"pi_score","1.88729362283642"
"p_value","0.5"
"percentage_A","0.00070587060551897"
"percentage_B","0.512283267493166"
"Min.","0.000259071314576843"
"1st Qu.","0.000259071314576843"
"Median","0.000259071314576843"
"Mean","0.000259071314576843"
"3rd Qu.","0.000259071314576843"
"Max.","0.000259071314576843"
