"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeBroadHistoneHepg2H4k20me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Hsf1ForsklnStdPk.narrowPeak.csv"
"jaccard_index","0.000182155821413787"
"pi_score","1.26862797597194"
"p_value","0.5"
"percentage_A","0.000182226926144562"
"percentage_B","0.318256915543579"
"Min.","9.95254687953844e-05"
"1st Qu.","9.95254687953844e-05"
"Median","9.95254687953844e-05"
"Mean","9.95254687953844e-05"
"3rd Qu.","9.95254687953844e-05"
"Max.","9.95254687953844e-05"
