"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Creb1sc240V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Foxa1sc101058V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.0333322391225889"
"pi_score","10.0823317594555"
"p_value","0.5"
"percentage_A","0.0920652195902517"
"percentage_B","0.04965460338793"
"Min.","0.0022915480387664"
"1st Qu.","0.0022915480387664"
"Median","0.0022915480387664"
"Mean","0.0022915480387664"
"3rd Qu.","0.0022915480387664"
"Max.","0.0022915480387664"
