"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Creb1sc240V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Pol2PravastStdPk.narrowPeak.csv"
"jaccard_index","0.179091720668788"
"pi_score","183.367983095785"
"p_value","0.5"
"percentage_A","0.196758661093802"
"percentage_B","0.66606159428025"
"Min.","0.000676982530687239"
"1st Qu.","0.000676982530687239"
"Median","0.000676982530687239"
"Mean","0.000676982530687239"
"3rd Qu.","0.000676982530687239"
"Max.","0.000676982530687239"
