"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Tead4sc101184V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0467705403412709"
"pi_score","12.4347766654627"
"p_value","0.5"
"percentage_A","0.102619575046472"
"percentage_B","0.0791373975122645"
"Min.","0.00260711302205047"
"1st Qu.","0.00260711302205047"
"Median","0.00260711302205047"
"Mean","0.00260711302205047"
"3rd Qu.","0.00260711302205047"
"Max.","0.00260711302205047"
