"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Fosl2V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Znf274UcdPk.narrowPeak.csv"
"jaccard_index","0.00585815313637217"
"pi_score","22.4468689488115"
"p_value","0.5"
"percentage_A","0.00593414231837116"
"percentage_B","0.313881658021089"
"Min.","0.000180896602507218"
"1st Qu.","0.000180896602507218"
"Median","0.000180896602507218"
"Mean","0.000180896602507218"
"3rd Qu.","0.000180896602507218"
"Max.","0.000180896602507218"
