"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2GabpPcr2xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk.narrowPeak.csv"
"jaccard_index","0.137096174635707"
"pi_score","103.05122125244"
"p_value","0.5"
"percentage_A","0.57560537341266"
"percentage_B","0.152512300441217"
"Min.","0.000922141686040855"
"1st Qu.","0.000922141686040855"
"Median","0.000922141686040855"
"Mean","0.000922141686040855"
"3rd Qu.","0.000922141686040855"
"Max.","0.000922141686040855"
