"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Grp20ForsklnStdPk.narrowPeak.csv"
"jaccard_index","0.00332219382288316"
"pi_score","418.673055575953"
"p_value","0.5"
"percentage_A","0.0033280068179397"
"percentage_B","0.655409389884328"
"Min.","5.50016116618084e-06"
"1st Qu.","5.50016116618084e-06"
"Median","5.50016116618084e-06"
"Mean","5.50016116618084e-06"
"3rd Qu.","5.50016116618084e-06"
"Max.","5.50016116618084e-06"
