"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2JundPcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Mafkab50322IggrabPk.narrowPeak.csv"
"jaccard_index","0.0353157091330541"
"pi_score","15.4537415263002"
"p_value","0.5"
"percentage_A","0.26545786296543"
"percentage_B","0.0391405754232729"
"Min.","0.00158401667152201"
"1st Qu.","0.00158401667152201"
"Median","0.00158401667152201"
"Mean","0.00158401667152201"
"3rd Qu.","0.00158401667152201"
"Max.","0.00158401667152201"
