"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2MaxV0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk.narrowPeak.csv"
"jaccard_index","0.193130934692083"
"pi_score","60.6376478679539"
"p_value","0.5"
"percentage_A","0.289655379962404"
"percentage_B","0.366911087105816"
"Min.","0.00220767406994808"
"1st Qu.","0.00220767406994808"
"Median","0.00220767406994808"
"Mean","0.00220767406994808"
"3rd Qu.","0.00220767406994808"
"Max.","0.00220767406994808"
