"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2NrsfV0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Mazab85725IggrabPk.narrowPeak.csv"
"jaccard_index","0.0318079903164262"
"pi_score","35.3645519297732"
"p_value","0.5"
"percentage_A","0.286300884770275"
"percentage_B","0.034547311490522"
"Min.","0.000623438375548796"
"1st Qu.","0.000623438375548796"
"Median","0.000623438375548796"
"Mean","0.000623438375548796"
"3rd Qu.","0.000623438375548796"
"Max.","0.000623438375548796"
