"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2P300V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Hnf4aForsklnStdPk.narrowPeak.csv"
"jaccard_index","0.150304258001332"
"pi_score","143.549116080649"
"p_value","0.5"
"percentage_A","0.18118838390854"
"percentage_B","0.468591735859107"
"Min.","0.000725765337358437"
"1st Qu.","0.000725765337358437"
"Median","0.000725765337358437"
"Mean","0.000725765337358437"
"3rd Qu.","0.000725765337358437"
"Max.","0.000725765337358437"
