"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Pol2Pcr2xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Sp2V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0593248457726025"
"pi_score","229.15274440776"
"p_value","0.5"
"percentage_A","0.061684459271847"
"percentage_B","0.607974752984831"
"Min.","0.000179447336276547"
"1st Qu.","0.000179447336276547"
"Median","0.000179447336276547"
"Mean","0.000179447336276547"
"3rd Qu.","0.000179447336276547"
"Max.","0.000179447336276547"
