"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Taf1Pcr2xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Mazab85725IggrabPk.narrowPeak.csv"
"jaccard_index","0.253085739144319"
"pi_score","101.832916479028"
"p_value","0.5"
"percentage_A","0.727330426620204"
"percentage_B","0.27961553400841"
"Min.","0.00172268135484407"
"1st Qu.","0.00172268135484407"
"Median","0.00172268135484407"
"Mean","0.00172268135484407"
"3rd Qu.","0.00172268135484407"
"Max.","0.00172268135484407"
