"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Tcf12Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Tcf7l2UcdPk.narrowPeak.csv"
"jaccard_index","0.09008849116615"
"pi_score","91.8074907885511"
"p_value","0.5"
"percentage_A","0.177324306302164"
"percentage_B","0.154779301741275"
"Min.","0.000680168721706351"
"1st Qu.","0.000680168721706351"
"Median","0.000680168721706351"
"Mean","0.000680168721706351"
"3rd Qu.","0.000680168721706351"
"Max.","0.000680168721706351"
