"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeHaibTfbsHepg2Yy1sc281V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Mazab85725IggrabPk.narrowPeak.csv"
"jaccard_index","0.403087360104644"
"pi_score","98.8338442294386"
"p_value","0.5"
"percentage_A","0.62449650396099"
"percentage_B","0.532038902884206"
"Min.","0.00282695537499556"
"1st Qu.","0.00282695537499556"
"Median","0.00282695537499556"
"Mean","0.00282695537499556"
"3rd Qu.","0.00282695537499556"
"Max.","0.00282695537499556"
