"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Bhlhe40cIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2P300sc582IggrabPk.narrowPeak.csv"
"jaccard_index","0.314160833247937"
"pi_score","104.891628373499"
"p_value","0.5"
"percentage_A","0.490145904889988"
"percentage_B","0.466662962418073"
"Min.","0.00207604457271624"
"1st Qu.","0.00207604457271624"
"Median","0.00207604457271624"
"Mean","0.00207604457271624"
"3rd Qu.","0.00207604457271624"
"Max.","0.00207604457271624"
