"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Brca1a300IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Mazab85725IggrabPk.narrowPeak.csv"
"jaccard_index","0.188915815812269"
"pi_score","92.7501875472516"
"p_value","0.5"
"percentage_A","0.777298517654248"
"percentage_B","0.199726134131786"
"Min.","0.00141181887127447"
"1st Qu.","0.00141181887127447"
"Median","0.00141181887127447"
"Mean","0.00141181887127447"
"3rd Qu.","0.00141181887127447"
"Max.","0.00141181887127447"
