"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2CebpbIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Pol2PravastStdPk.narrowPeak.csv"
"jaccard_index","0.0196535571029214"
"pi_score","11.7244359812152"
"p_value","0.5"
"percentage_A","0.0207611807153389"
"percentage_B","0.269211094478629"
"Min.","0.00116191582398422"
"1st Qu.","0.00116191582398422"
"Median","0.00116191582398422"
"Mean","0.00116191582398422"
"3rd Qu.","0.00116191582398422"
"Max.","0.00116191582398422"
