"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2CebpzIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Hnf4aForsklnStdPk.narrowPeak.csv"
"jaccard_index","0.01332947505018"
"pi_score","43.9915761994372"
"p_value","0.5"
"percentage_A","0.082750041589798"
"percentage_B","0.0156403659133226"
"Min.","0.000210024028406934"
"1st Qu.","0.000210024028406934"
"Median","0.000210024028406934"
"Mean","0.000210024028406934"
"3rd Qu.","0.000210024028406934"
"Max.","0.000210024028406934"
