"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2ErraForsklnStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Tcf7l2UcdPk.narrowPeak.csv"
"jaccard_index","0.00413313850765386"
"pi_score","99.2702286863961"
"p_value","0.5"
"percentage_A","0.128983530362736"
"percentage_B","0.00425180986278"
"Min.","2.88593402206659e-05"
"1st Qu.","2.88593402206659e-05"
"Median","2.88593402206659e-05"
"Mean","2.88593402206659e-05"
"3rd Qu.","2.88593402206659e-05"
"Max.","2.88593402206659e-05"
