"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2JundIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Pol2ForsklnStdPk.narrowPeak.csv"
"jaccard_index","0.0654353290931282"
"pi_score","15.7571256271886"
"p_value","0.5"
"percentage_A","0.092344831199181"
"percentage_B","0.183375608509687"
"Min.","0.00287846368322739"
"1st Qu.","0.00287846368322739"
"Median","0.00287846368322739"
"Mean","0.00287846368322739"
"3rd Qu.","0.00287846368322739"
"Max.","0.00287846368322739"
