"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Pol2ForsklnStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Pol2ForsklnStdPk.narrowPeak.csv"
"jaccard_index","1"
"pi_score","356.927421048577"
"p_value","0.5"
"percentage_A","1"
"percentage_B","1"
"Min.","0.00194198355095169"
"1st Qu.","0.00194198355095169"
"Median","0.00194198355095169"
"Mean","0.00194198355095169"
"3rd Qu.","0.00194198355095169"
"Max.","0.00194198355095169"
