"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Rad21IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hepg2/wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk.narrowPeak.csv"
"jaccard_index","0.146400019762843"
"pi_score","41.7262861973969"
"p_value","0.5"
"percentage_A","0.205109893041393"
"percentage_B","0.338390588142902"
"Min.","0.00243196244334981"
"1st Qu.","0.00243196244334981"
"Median","0.00243196244334981"
"Mean","0.00243196244334981"
"3rd Qu.","0.00243196244334981"
"Max.","0.00243196244334981"
