"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hmec/wgEncodeBroadHistoneHmecH3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hmec/wgEncodeBroadHistoneHmecH4k20me1StdPk.broadPeak.csv"
"jaccard_index","0.0579226491661834"
"pi_score","0.876533613434236"
"p_value","0.5"
"percentage_A","0.377089111396555"
"percentage_B","0.0640511972679302"
"Min.","0.0458042000269681"
"1st Qu.","0.0458042000269681"
"Median","0.0458042000269681"
"Mean","0.0458042000269681"
"3rd Qu.","0.0458042000269681"
"Max.","0.0458042000269681"
