"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hmec/wgEncodeBroadHistoneHmecH3k4me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hmec/wgEncodeUwHistoneHmecH3k4me3StdPkRep1.narrowPeak.csv"
"jaccard_index","0.0428517195673853"
"pi_score","11.2792237019176"
"p_value","0.5"
"percentage_A","0.042875856856853"
"percentage_B","0.987033011953913"
"Min.","0.0026333858947428"
"1st Qu.","0.0026333858947428"
"Median","0.0026333858947428"
"Mean","0.0026333858947428"
"3rd Qu.","0.0026333858947428"
"Max.","0.0026333858947428"
