"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmH3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak.csv"
"jaccard_index","0.0687082187314372"
"pi_score","1.11057793256027"
"p_value","0.5"
"percentage_A","0.419358879342773"
"percentage_B","0.0759318324909889"
"Min.","0.0428829951493809"
"1st Qu.","0.0428829951493809"
"Median","0.0428829951493809"
"Mean","0.0428829951493809"
"3rd Qu.","0.0428829951493809"
"Max.","0.0428829951493809"
