"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmH3k36me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmH4k20me1StdPk.broadPeak.csv"
"jaccard_index","0.324452958843412"
"pi_score","1.8292462541385"
"p_value","0.5"
"percentage_A","0.474381070461014"
"percentage_B","0.506559699387351"
"Min.","0.122943345182663"
"1st Qu.","0.122943345182663"
"Median","0.122943345182663"
"Mean","0.122943345182663"
"3rd Qu.","0.122943345182663"
"Max.","0.122943345182663"
