"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmH3k4me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmtH3k79me2StdPk.broadPeak.csv"
"jaccard_index","0.255413311417979"
"pi_score","2.93183843527026"
"p_value","0.5"
"percentage_A","0.482409162660605"
"percentage_B","0.351828537011424"
"Min.","0.0603849838916966"
"1st Qu.","0.0603849838916966"
"Median","0.0603849838916966"
"Mean","0.0603849838916966"
"3rd Qu.","0.0603849838916966"
"Max.","0.0603849838916966"
