"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Hsmm/wgEncodeBroadHistoneHsmmtH3k9acStdPk.broadPeak.csv"
"jaccard_index","0.0965961640648408"
"pi_score","1.2054682870999"
"p_value","0.5"
"percentage_A","0.110906506316572"
"percentage_B","0.428123538267589"
"Min.","0.0555430279593093"
"1st Qu.","0.0555430279593093"
"Median","0.0555430279593093"
"Mean","0.0555430279593093"
"3rd Qu.","0.0555430279593093"
"Max.","0.0555430279593093"
