"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Imr90/wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_Imr90/wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak.csv"
"jaccard_index","0.187495939640131"
"pi_score","30.4252241380799"
"p_value","0.5"
"percentage_A","0.313043707098716"
"percentage_B","0.31857211175554"
"Min.","0.00427153079754423"
"1st Qu.","0.00427153079754423"
"Median","0.00427153079754423"
"Mean","0.00427153079754423"
"3rd Qu.","0.00427153079754423"
"Max.","0.00427153079754423"
