"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Cbx2Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CmycStdPk.narrowPeak.csv"
"jaccard_index","0.00103625857351285"
"pi_score","0.737736366065235"
"p_value","0.5"
"percentage_A","0.00104375750729355"
"percentage_B","0.126053035538136"
"Min.","0.000973626544116965"
"1st Qu.","0.000973626544116965"
"Median","0.000973626544116965"
"Mean","0.000973626544116965"
"3rd Qu.","0.000973626544116965"
"Max.","0.000973626544116965"
