"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Cbx2Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562MaxStdPk.narrowPeak.csv"
"jaccard_index","0.000553910552172709"
"pi_score","0.872046396966069"
"p_value","0.5"
"percentage_A","0.000555375540267685"
"percentage_B","0.173544801074574"
"Min.","0.000440276502324514"
"1st Qu.","0.000440276502324514"
"Median","0.000440276502324514"
"Mean","0.000440276502324514"
"3rd Qu.","0.000440276502324514"
"Max.","0.000440276502324514"
