"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Cbx3sc101004Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562E2f6V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.00383862360635746"
"pi_score","1.87225083920427"
"p_value","0.5"
"percentage_A","0.00384612528454969"
"percentage_B","0.663080715082786"
"Min.","0.00142114030570197"
"1st Qu.","0.00142114030570197"
"Median","0.00142114030570197"
"Mean","0.00142114030570197"
"3rd Qu.","0.00142114030570197"
"Max.","0.00142114030570197"
