"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Chd1a301218aStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k9acStdPk.broadPeak.csv"
"jaccard_index","0.242551472297164"
"pi_score","4.02518461485243"
"p_value","0.5"
"percentage_A","0.290568544631121"
"percentage_B","0.594775200657293"
"Min.","0.0417679896080013"
"1st Qu.","0.0417679896080013"
"Median","0.0417679896080013"
"Mean","0.0417679896080013"
"3rd Qu.","0.0417679896080013"
"Max.","0.0417679896080013"
