"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Chd4mi2Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Hdac6a301341aPk.broadPeak.csv"
"jaccard_index","0.260079953935294"
"pi_score","1.87021203466101"
"p_value","0.5"
"percentage_A","0.513641437635351"
"percentage_B","0.345055080210509"
"Min.","0.0963921114020022"
"1st Qu.","0.0963921114020022"
"Median","0.0963921114020022"
"Mean","0.0963921114020022"
"3rd Qu.","0.0963921114020022"
"Max.","0.0963921114020022"
