"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562CtcfStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Yy1V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.00388792104292208"
"pi_score","9.7154894754433"
"p_value","0.5"
"percentage_A","0.00390018434570844"
"percentage_B","0.552873361162785"
"Min.","0.000277381959596859"
"1st Qu.","0.000277381959596859"
"Median","0.000277381959596859"
"Mean","0.000277381959596859"
"3rd Qu.","0.000277381959596859"
"Max.","0.000277381959596859"
