"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Ezh239875StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Thap1sc98174V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.00166930093044249"
"pi_score","1.81042288243017"
"p_value","0.5"
"percentage_A","0.00167056049974691"
"percentage_B","0.688859829962687"
"Min.","0.000639116553746352"
"1st Qu.","0.000639116553746352"
"Median","0.000639116553746352"
"Mean","0.000639116553746352"
"3rd Qu.","0.000639116553746352"
"Max.","0.000639116553746352"
