"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Ezh239875StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Yy1V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.000635112826282618"
"pi_score","1.67432256183515"
"p_value","0.5"
"percentage_A","0.000635364477731329"
"percentage_B","0.615904620341608"
"Min.","0.000262928228353288"
"1st Qu.","0.000262928228353288"
"Median","0.000262928228353288"
"Mean","0.000262928228353288"
"3rd Qu.","0.000262928228353288"
"Max.","0.000262928228353288"
