"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Ezh239875StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CjunIfna6hStdPk.narrowPeak.csv"
"jaccard_index","0.000829556235283134"
"pi_score","1.8384349372273"
"p_value","0.5"
"percentage_A","0.000829709706333822"
"percentage_B","0.817678789366349"
"Min.","0.000312768515196757"
"1st Qu.","0.000312768515196757"
"Median","0.000312768515196757"
"Mean","0.000312768515196757"
"3rd Qu.","0.000312768515196757"
"Max.","0.000312768515196757"
