"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Ezh239875StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562E2f6UcdPk.narrowPeak.csv"
"jaccard_index","0.00898726831811213"
"pi_score","1.60837838908093"
"p_value","0.5"
"percentage_A","0.00903355540024628"
"percentage_B","0.636890210523513"
"Min.","0.00387315555712909"
"1st Qu.","0.00387315555712909"
"Median","0.00387315555712909"
"Mean","0.00387315555712909"
"3rd Qu.","0.00387315555712909"
"Max.","0.00387315555712909"
