"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H2azStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2IggmusPk.narrowPeak.csv"
"jaccard_index","0.0193112092924085"
"pi_score","5.47965715936012"
"p_value","0.5"
"percentage_A","0.019342197067509"
"percentage_B","0.923394100497821"
"Min.","0.00244276418851705"
"1st Qu.","0.00244276418851705"
"Median","0.00244276418851705"
"Mean","0.00244276418851705"
"3rd Qu.","0.00244276418851705"
"Max.","0.00244276418851705"
