"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Suz12051317Pk.broadPeak.csv"
"jaccard_index","0.0750802097892395"
"pi_score","1.50719962652354"
"p_value","0.5"
"percentage_A","0.292380979320187"
"percentage_B","0.0917524298280281"
"Min.","0.0345286946834629"
"1st Qu.","0.0345286946834629"
"Median","0.0345286946834629"
"Mean","0.0345286946834629"
"3rd Qu.","0.0345286946834629"
"Max.","0.0345286946834629"
