"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k27acStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Mafkab50322IggrabPk.narrowPeak.csv"
"jaccard_index","0.086669706979529"
"pi_score","8.92566468154628"
"p_value","0.5"
"percentage_A","0.0933348542586239"
"percentage_B","0.548261948825233"
"Min.","0.00673057583678012"
"1st Qu.","0.00673057583678012"
"Median","0.00673057583678012"
"Mean","0.00673057583678012"
"3rd Qu.","0.00673057583678012"
"Max.","0.00673057583678012"
