"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k36me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Rbbp5a300109aStdPk.broadPeak.csv"
"jaccard_index","0.205461462834194"
"pi_score","2.00775445046555"
"p_value","0.5"
"percentage_A","0.287991999085918"
"percentage_B","0.417575923951812"
"Min.","0.0709324955769473"
"1st Qu.","0.0709324955769473"
"Median","0.0709324955769473"
"Mean","0.0709324955769473"
"3rd Qu.","0.0709324955769473"
"Max.","0.0709324955769473"
