"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k36me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Mafkab50322IggrabPk.narrowPeak.csv"
"jaccard_index","0.0232694228034689"
"pi_score","2.15377167331844"
"p_value","0.5"
"percentage_A","0.0238730563862914"
"percentage_B","0.479242758287737"
"Min.","0.00748878583987998"
"1st Qu.","0.00748878583987998"
"Median","0.00748878583987998"
"Mean","0.00748878583987998"
"3rd Qu.","0.00748878583987998"
"Max.","0.00748878583987998"
