"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k4me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Nr2f2sc271940V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0665467324412502"
"pi_score","12.7735211548171"
"p_value","0.5"
"percentage_A","0.0685943913111176"
"percentage_B","0.690330060239247"
"Min.","0.00361111704502361"
"1st Qu.","0.00361111704502361"
"Median","0.00361111704502361"
"Mean","0.00361111704502361"
"3rd Qu.","0.00361111704502361"
"Max.","0.00361111704502361"
