"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k4me3StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Ctcflsc98982V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.00879679619575899"
"pi_score","9.38541949820711"
"p_value","0.5"
"percentage_A","0.00883513095176512"
"percentage_B","0.669686294936701"
"Min.","0.000649675220400707"
"1st Qu.","0.000649675220400707"
"Median","0.000649675220400707"
"Mean","0.000649675220400707"
"3rd Qu.","0.000649675220400707"
"Max.","0.000649675220400707"
