"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H3k79me2StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Sin3ak20V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.00360693847961854"
"pi_score","6.62116162899412"
"p_value","0.5"
"percentage_A","0.00360941053973045"
"percentage_B","0.840419404552082"
"Min.","0.000377598279228321"
"1st Qu.","0.000377598279228321"
"Median","0.000377598279228321"
"Mean","0.000377598279228321"
"3rd Qu.","0.000377598279228321"
"Max.","0.000377598279228321"
