"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H4k20me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Taf1V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.00814548143854178"
"pi_score","1.50574972517804"
"p_value","0.5"
"percentage_A","0.00818247580307959"
"percentage_B","0.643065094650102"
"Min.","0.00374963873412695"
"1st Qu.","0.00374963873412695"
"Median","0.00374963873412695"
"Mean","0.00374963873412695"
"3rd Qu.","0.00374963873412695"
"Max.","0.00374963873412695"
