"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562H4k20me1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CmycStdPk.narrowPeak.csv"
"jaccard_index","0.00292999111863685"
"pi_score","1.99518459760333"
"p_value","0.5"
"percentage_A","0.00293361497054367"
"percentage_B","0.703432549096148"
"Min.","0.00101790836065415"
"1st Qu.","0.00101790836065415"
"Median","0.00101790836065415"
"Mean","0.00101790836065415"
"3rd Qu.","0.00101790836065415"
"Max.","0.00101790836065415"
