"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Hdac1sc6298StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Brf2StdPk.narrowPeak.csv"
"jaccard_index","4.07919816063175e-05"
"pi_score","9.66979818634249"
"p_value","0.5"
"percentage_A","4.079220616717e-05"
"percentage_B","0.881093873257954"
"Min.","2.92403693386354e-06"
"1st Qu.","2.92403693386354e-06"
"Median","2.92403693386354e-06"
"Mean","2.92403693386354e-06"
"3rd Qu.","2.92403693386354e-06"
"Max.","2.92403693386354e-06"
