"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Hdac6a301341aPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf384hpa004051IggrabPk.narrowPeak.csv"
"jaccard_index","0.0198397662442603"
"pi_score","1.7341162242817"
"p_value","0.5"
"percentage_A","0.0201807206796504"
"percentage_B","0.54008061685664"
"Min.","0.00793019397582399"
"1st Qu.","0.00793019397582399"
"Median","0.00793019397582399"
"Mean","0.00793019397582399"
"3rd Qu.","0.00793019397582399"
"Max.","0.00793019397582399"
