"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Lsd1Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Smc3ab9263IggrabPk.narrowPeak.csv"
"jaccard_index","0.0148287023217869"
"pi_score","2.53383655201591"
"p_value","0.5"
"percentage_A","0.0151420564033343"
"percentage_B","0.41743958033704"
"Min.","0.00405648627869536"
"1st Qu.","0.00405648627869536"
"Median","0.00405648627869536"
"Mean","0.00405648627869536"
"3rd Qu.","0.00405648627869536"
"Max.","0.00405648627869536"
