"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562NcorPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Nsd2ab75359Pk.broadPeak.csv"
"jaccard_index","0.35952908800705"
"pi_score","2.25739743286708"
"p_value","0.5"
"percentage_A","0.552919058769928"
"percentage_B","0.506885241347244"
"Min.","0.110395524533251"
"1st Qu.","0.110395524533251"
"Median","0.110395524533251"
"Mean","0.110395524533251"
"3rd Qu.","0.110395524533251"
"Max.","0.110395524533251"
