"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562NcorPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Atf3StdPk.narrowPeak.csv"
"jaccard_index","0.000293249676029879"
"pi_score","2.01772354950486"
"p_value","0.5"
"percentage_A","0.000293319990504473"
"percentage_B","0.550218994154047"
"Min.","0.000100739859129913"
"1st Qu.","0.000100739859129913"
"Median","0.000100739859129913"
"Mean","0.000100739859129913"
"3rd Qu.","0.000100739859129913"
"Max.","0.000100739859129913"
