"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562NcorPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562E2f6UcdPk.narrowPeak.csv"
"jaccard_index","0.0112367485761537"
"pi_score","2.0403102076881"
"p_value","0.5"
"percentage_A","0.0113354804377263"
"percentage_B","0.563337785744844"
"Min.","0.00381741980453423"
"1st Qu.","0.00381741980453423"
"Median","0.00381741980453423"
"Mean","0.00381741980453423"
"3rd Qu.","0.00381741980453423"
"Max.","0.00381741980453423"
