"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562NcorPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2IggmusPk.narrowPeak.csv"
"jaccard_index","0.00830614515857261"
"pi_score","2.85623878214"
"p_value","0.5"
"percentage_A","0.00833369401648614"
"percentage_B","0.715315337978919"
"Min.","0.00201572121140117"
"1st Qu.","0.00201572121140117"
"Median","0.00201572121140117"
"Mean","0.00201572121140117"
"3rd Qu.","0.00201572121140117"
"Max.","0.00201572121140117"
