"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Nsd2ab75359Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562E2f6V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.00603909999993573"
"pi_score","2.74216978239443"
"p_value","0.5"
"percentage_A","0.00604553411644072"
"percentage_B","0.850173220584617"
"Min.","0.00152652296183494"
"1st Qu.","0.00152652296183494"
"Median","0.00152652296183494"
"Mean","0.00152652296183494"
"3rd Qu.","0.00152652296183494"
"Max.","0.00152652296183494"
