"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Nsd2ab75359Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Mef2aV0416101PkRep1.broadPeak.csv"
"jaccard_index","0.00181049042592703"
"pi_score","2.31010500894687"
"p_value","0.5"
"percentage_A","0.00181159451117"
"percentage_B","0.748153426778795"
"Min.","0.000543237787590528"
"1st Qu.","0.000543237787590528"
"Median","0.000543237787590528"
"Mean","0.000543237787590528"
"3rd Qu.","0.000543237787590528"
"Max.","0.000543237787590528"
