"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Nsd2ab75359Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf274m01UcdPk.narrowPeak.csv"
"jaccard_index","0.00374322762655995"
"pi_score","1.7818830092997"
"p_value","0.5"
"percentage_A","0.00375380324761987"
"percentage_B","0.570567354002724"
"Min.","0.00145610439181629"
"1st Qu.","0.00145610439181629"
"Median","0.00145610439181629"
"Mean","0.00145610439181629"
"3rd Qu.","0.00145610439181629"
"Max.","0.00145610439181629"
