"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562P300StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Pmlsc71910V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.00862333928059016"
"pi_score","1.87468370199271"
"p_value","0.5"
"percentage_A","0.00863518690815701"
"percentage_B","0.86273451449259"
"Min.","0.0031884009569184"
"1st Qu.","0.0031884009569184"
"Median","0.0031884009569184"
"Mean","0.0031884009569184"
"3rd Qu.","0.0031884009569184"
"Max.","0.0031884009569184"
