"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562PcafPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CmycStdPk.narrowPeak.csv"
"jaccard_index","0.00294288322479289"
"pi_score","2.02942578117005"
"p_value","0.5"
"percentage_A","0.00294582702011363"
"percentage_B","0.746509068308102"
"Min.","0.00100513713234011"
"1st Qu.","0.00100513713234011"
"Median","0.00100513713234011"
"Mean","0.00100513713234011"
"3rd Qu.","0.00100513713234011"
"Max.","0.00100513713234011"
