"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562PcafPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifna30StdPk.narrowPeak.csv"
"jaccard_index","0.00940418849165089"
"pi_score","1.75744106501426"
"p_value","0.5"
"percentage_A","0.00944512997443878"
"percentage_B","0.684495826652401"
"Min.","0.00370907842556258"
"1st Qu.","0.00370907842556258"
"Median","0.00370907842556258"
"Mean","0.00370907842556258"
"3rd Qu.","0.00370907842556258"
"Max.","0.00370907842556258"
